filepath,country,year,survey,filename,HIV_pos,HIV_neg,Prevalence,include
D:\EricChow\DHS_live\Afghanistan\Standard DHS 2015\af70_flattened.dta,Afghanistan,2015,Standard DHS 2015,af70_flattened.dta,,,,
D:\EricChow\DHS_live\Albania\Standard DHS 2008-09\al50_flattened.dta,Albania,2008,Standard DHS 2008-09,al50_flattened.dta,,,,
D:\EricChow\DHS_live\Angola\MIS 2006-07\ao51_flattened.dta,Angola,2006,MIS 2006-07,ao51_flattened.dta,,,,
D:\EricChow\DHS_live\Angola\MIS 2011\ao62_flattened.dta,Angola,2011,MIS 2011,ao62_flattened.dta,,,,
D:\EricChow\DHS_live\Angola\Standard DHS 2015-16\ao71_flattened.dta,Angola,2015,Standard DHS 2015-16,ao71_flattened.dta,271,11989,0.022104405,1
D:\EricChow\DHS_live\Armenia\Standard DHS 2000\am42_flattened.dta,Armenia,2000,Standard DHS 2000,am42_flattened.dta,,,,
D:\EricChow\DHS_live\Armenia\Standard DHS 2005\am54_flattened.dta,Armenia,2005,Standard DHS 2005,am54_flattened.dta,,,,
D:\EricChow\DHS_live\Armenia\Standard DHS 2010\am61_flattened.dta,Armenia,2010,Standard DHS 2010,am61_flattened.dta,,,,
D:\EricChow\DHS_live\Armenia\Standard DHS 2015-16\am71_flattened.dta,Armenia,2015,Standard DHS 2015-16,am71_flattened.dta,,,,
D:\EricChow\DHS_live\Azerbaijan\Standard DHS 2006\az52_flattened.dta,Azerbaijan,2006,Standard DHS 2006,az52_flattened.dta,,,,
D:\EricChow\DHS_live\Bangladesh\Standard DHS 1993-94\bd31_flattened.dta,Bangladesh,1993,Standard DHS 1993-94,bd31_flattened.dta,,,,
D:\EricChow\DHS_live\Bangladesh\Standard DHS 1996-97\bd3a_flattened.dta,Bangladesh,1996,Standard DHS 1996-97,bd3a_flattened.dta,,,,
D:\EricChow\DHS_live\Bangladesh\Standard DHS 1999-00\bd41_flattened.dta,Bangladesh,1999,Standard DHS 1999-00,bd41_flattened.dta,,,,
D:\EricChow\DHS_live\Bangladesh\Standard DHS 2004\bd4j_flattened.dta,Bangladesh,2004,Standard DHS 2004,bd4j_flattened.dta,,,,
D:\EricChow\DHS_live\Bangladesh\Standard DHS 2007\bd51_flattened.dta,Bangladesh,2007,Standard DHS 2007,bd51_flattened.dta,,,,
D:\EricChow\DHS_live\Bangladesh\Standard DHS 2011\bd61_flattened.dta,Bangladesh,2011,Standard DHS 2011,bd61_flattened.dta,,,,
D:\EricChow\DHS_live\Bangladesh\Standard DHS 2014\bd72_flattened.dta,Bangladesh,2014,Standard DHS 2014,bd72_flattened.dta,,,,
D:\EricChow\DHS_live\Benin\Standard DHS 1996\bj31_flattened.dta,Benin,1996,Standard DHS 1996,bj31_flattened.dta,,,,
D:\EricChow\DHS_live\Benin\Standard DHS 2001\bj41_flattened.dta,Benin,2001,Standard DHS 2001,bj41_flattened.dta,,,,
D:\EricChow\DHS_live\Benin\Standard DHS 2006\bj51_flattened.dta,Benin,2006,Standard DHS 2006,bj51_flattened.dta,,,,
D:\EricChow\DHS_live\Benin\Standard DHS 2011-12\bj61_flattened.dta,Benin,2011,Standard DHS 2011-12,bj61_flattened.dta,,,,
D:\EricChow\DHS_live\Bolivia\Standard DHS 1989\bo01_flattened.dta,Bolivia,1989,Standard DHS 1989,bo01_flattened.dta,,,,
D:\EricChow\DHS_live\Bolivia\Standard DHS 1998\bo3b_flattened.dta,Bolivia,1998,Standard DHS 1998,bo3b_flattened.dta,,,,
D:\EricChow\DHS_live\Bolivia\Standard DHS 2003\bo41_flattened.dta,Bolivia,2003,Standard DHS 2003,bo41_flattened.dta,,,,
D:\EricChow\DHS_live\Bolivia\Standard DHS 2008\bo51_flattened.dta,Bolivia,2008,Standard DHS 2008,bo51_flattened.dta,,,,
D:\EricChow\DHS_live\Brazil\Standard DHS 1986\br01_flattened.dta,Brazil,1986,Standard DHS 1986,br01_flattened.dta,,,,
