"filepath","Prevalence"
"D:\EricChow\DHS_live\Angola\Standard DHS 2015-16\ao71_flattened.dta",0.022104405
"D:\EricChow\DHS_live\Burkina Faso\Standard DHS 2003\bf41_flattened.dta",0.016610868
"D:\EricChow\DHS_live\Burkina Faso\Standard DHS 2010\bf61_flattened.dta",0.010594843
"D:\EricChow\DHS_live\Burundi\Standard DHS 2010\bu61_flattened.dta",0.018998862
"D:\EricChow\DHS_live\Cameroon\Standard DHS 2004\cm42_flattened.dta",0.054599923
"D:\EricChow\DHS_live\Cameroon\Standard DHS 2011\cm61_flattened.dta",0.045553737
"D:\EricChow\DHS_live\Chad\Standard DHS 2014-15\td71_flattened.dta",0.015588182
"D:\EricChow\DHS_live\Congo\Standard AIS 2009\cg5h_flattened.dta",0.030608948
"D:\EricChow\DHS_live\Congo Democratic Republic\Standard DHS 2007\cd50_flattened.dta",0.014019196
"D:\EricChow\DHS_live\Congo Democratic Republic\Standard DHS 2013-14\cd61_flattened.dta",0.010023553
"D:\EricChow\DHS_live\Cote d'Ivoire\Standard AIS 2005\ci50_flattened.dta",0.042426367
"D:\EricChow\DHS_live\Cote d'Ivoire\Standard DHS 2011-12\ci61_flattened.dta",0.037628758
"D:\EricChow\DHS_live\Dominican Republic\Special DHS 2007\dr5a_flattened.dta",0.03502994
"D:\EricChow\DHS_live\Dominican Republic\Special DHS 2013\dr6a_flattened.dta",0.023433386
"D:\EricChow\DHS_live\Dominican Republic\Standard DHS 2013\dr61_flattened.dta",0.010475043
"D:\EricChow\DHS_live\Ethiopia\Standard DHS 2005\et51_flattened.dta",0.019240907
"D:\EricChow\DHS_live\Ethiopia\Standard DHS 2011\et61_flattened.dta",0.019071282
"D:\EricChow\DHS_live\Ethiopia\Standard DHS 2016\et71_flattened.dta",0.015254047
"D:\EricChow\DHS_live\Gabon\Standard DHS 2012\ga60_flattened.dta",0.044566761
"D:\EricChow\DHS_live\Gambia\Standard DHS 2013\gm60_flattened.dta",0.017524374
"D:\EricChow\DHS_live\Ghana\Standard DHS 2003\gh4a_flattened.dta",0.018697349
"D:\EricChow\DHS_live\Ghana\Standard DHS 2014\gh71_flattened.dta",0.018651363
"D:\EricChow\DHS_live\Guinea\Standard DHS 2005\gn51_flattened.dta",0.015498262
"D:\EricChow\DHS_live\Guinea\Standard DHS 2012\gn61_flattened.dta",0.019404916
"D:\EricChow\DHS_live\Haiti\Standard DHS 2005-06\ht51_flattened.dta",0.022678397
"D:\EricChow\DHS_live\Haiti\Standard DHS 2012\ht61_flattened.dta",0.023338461
"D:\EricChow\DHS_live\Honduras\Standard DHS 2011-12\hn62_flattened.dta",0.023338461
"D:\EricChow\DHS_live\Kenya\Standard DHS 2003\ke42_flattened.dta",0.066373073
"D:\EricChow\DHS_live\Kenya\Standard DHS 2008-09\ke51_flattened.dta",0.068561634
"D:\EricChow\DHS_live\Lesotho\Standard DHS 2004\ls41_flattened.dta",0.229492916
"D:\EricChow\DHS_live\Lesotho\Standard DHS 2009\ls61_flattened.dta",0.221862234
"D:\EricChow\DHS_live\Lesotho\Standard DHS 2014\ls72_flattened.dta",0.239668103
"D:\EricChow\DHS_live\Liberia\Standard DHS 2007\lb51_flattened.dta",0.016495018
"D:\EricChow\DHS_live\Liberia\Standard DHS 2013\lb6a_flattened.dta",0.014609811
"D:\EricChow\DHS_live\Malawi\Standard DHS 2004\mw4a_flattened.dta",0.125443345
"D:\EricChow\DHS_live\Malawi\Standard DHS 2010\mw61_flattened.dta",0.101860853
"D:\EricChow\DHS_live\Malawi\Standard DHS 2015-16\mw7a_flattened.dta",0.093856655
"D:\EricChow\DHS_live\Mali\Standard DHS 2006\ml51_flattened.dta",0.011065162
"D:\EricChow\DHS_live\Mali\Standard DHS 2012-13\ml6a_flattened.dta",0.011072971
"D:\EricChow\DHS_live\Mozambique\Standard AIS 2009\mz51_flattened.dta",0.08635721
"D:\EricChow\DHS_live\Namibia\Standard DHS 2013\nm61_flattened.dta",0.139327532
"D:\EricChow\DHS_live\Rwanda\Standard DHS 2005\rw51_flattened.dta",0.032949396
"D:\EricChow\DHS_live\Rwanda\Standard DHS 2010\rw61_flattened.dta",0.031726076
"D:\EricChow\DHS_live\Rwanda\Standard DHS 2014-15\rw71_flattened.dta",0.025280567
"D:\EricChow\DHS_live\Sao Tome and Principe\Standard DHS 2008-09\st50_flattened.dta",0.016049383
"D:\EricChow\DHS_live\Sierra Leone\Standard DHS 2008\sl51_flattened.dta",0.015043193
"D:\EricChow\DHS_live\Sierra Leone\Standard DHS 2013\sl61_flattened.dta",0.015229789
"D:\EricChow\DHS_live\Swaziland\Standard DHS 2006-07\sz51_flattened.dta",0.190728782
"D:\EricChow\DHS_live\Tanzania\Standard AIS 2003-04\tz4a_flattened.dta",0.064890025
"D:\EricChow\DHS_live\Tanzania\Standard AIS 2007-08\tz51_flattened.dta",0.040392383
"D:\EricChow\DHS_live\Tanzania\Standard AIS 2011-12\tz6a_flattened.dta",0.045742013
"D:\EricChow\DHS_live\Togo\Standard DHS 2013-14\tg61_flattened.dta",0.021456925
"D:\EricChow\DHS_live\Uganda\Standard AIS 2011\ug6a_flattened.dta",0.050309695
"D:\EricChow\DHS_live\Zambia\Standard DHS 2007\zm51_flattened.dta",0.14610273
"D:\EricChow\DHS_live\Zambia\Standard DHS 2013-14\zm63_flattened.dta",0.134983999
"D:\EricChow\DHS_live\Zimbabwe\Standard DHS 2005-06\zw51_flattened.dta",0.178940915
"D:\EricChow\DHS_live\Zimbabwe\Standard DHS 2010-11\zw61_flattened.dta",0.164267747
"D:\EricChow\DHS_live\Zimbabwe\Standard DHS 2015\zw71_flattened.dta",0.086665421
